14 янв. 2025 12:34:53,627 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,630 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,656 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5264, Current connections count : 4
14 янв. 2025 12:34:53,659 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5360, Current connections count : 4
14 янв. 2025 12:34:53,659 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5360, Current connections count : 4
14 янв. 2025 12:34:53,684 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 1212, Time : 198, Current connections count : 5
14 янв. 2025 12:34:53,689 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 1212, Current connections count : 5
14 янв. 2025 12:34:53,691 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 5360, Current connections count : 5
14 янв. 2025 12:34:53,692 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 5360, Current connections count : 5
14 янв. 2025 12:34:53,716 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 5360, Current connections count : 5
14 янв. 2025 12:34:53,795 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 1292, Current connections count : 5
14 янв. 2025 12:34:53,796 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 1292, Current connections count : 5
14 янв. 2025 12:34:53,963 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 1292, Current connections count : 5
14 янв. 2025 12:34:58,499 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 1292, Current connections count : 5
14 янв. 2025 12:34:58,502 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 1292, Current connections count : 5
14 янв. 2025 12:35:04,149 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 2896, Current connections count : 5
14 янв. 2025 12:35:04,191 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 4) CONNECTION : 2896, Current connections count : 5
14 янв. 2025 12:35:04,194 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 2896, Current connections count : 5
